arm,step,tokens_seen,word,klass,pair_id,surprisal_bits,n
B,122,3997696,earlier,Germanic,50,15.7158,30
B,122,3997696,end,Germanic,24,10.7526,30
B,122,3997696,enormous,Latinate,38,14.9791,30
B,122,3997696,enough,Germanic,44,11.7075,30
B,122,3997696,entire,Latinate,45,13.6667,30
B,122,3997696,error,Latinate,34,16.8738,30
B,122,3997696,fast,Germanic,42,12.4865,30
B,122,3997696,final,Latinate,59,11.9230,30
B,122,3997696,find,Germanic,20,9.9932,30
B,122,3997696,first,Germanic,52,10.3120,30
B,122,3997696,fortunate,Latinate,54,15.9064,30
B,122,3997696,frequently,Latinate,63,17.8185,30
B,122,3997696,get,Germanic,1,7.9556,30
B,122,3997696,gigantic,Latinate,39,33.7977,30
B,122,3997696,give,Germanic,5,9.4224,30
B,122,3997696,hard,Germanic,43,11.1680,30
B,122,3997696,have,Germanic,23,7.2110,30
B,122,3997696,help,Germanic,8,10.2382,30
B,122,3997696,hide,Germanic,19,14.9512,30
B,122,3997696,home,Germanic,33,11.5812,30
B,122,3997696,however,Latinate,60,11.8033,30
B,122,3997696,huge,Germanic,38,14.6384,30
B,122,3997696,ill,Latinate,57,13.5383,30
B,122,3997696,illness,Latinate,35,15.4882,30
B,122,3997696,immense,Latinate,40,17.2979,30
B,122,3997696,infant,Latinate,31,22.4208,30
B,122,3997696,initial,Latinate,52,15.2854,30
B,122,3997696,inquire,Latinate,16,27.7591,30
B,122,3997696,keep,Germanic,28,11.2147,30
B,122,3997696,last,Germanic,59,11.1864,30
B,122,3997696,leave,Germanic,12,11.2937,30
B,122,3997696,let,Germanic,13,11.9395,30
B,122,3997696,lucky,Germanic,54,15.3743,30
B,122,3997696,maintain,Latinate,29,19.0521,30
B,122,3997696,many,Germanic,46,8.8152,30
B,122,3997696,massive,Latinate,41,16.4262,30
B,122,3997696,maybe,Germanic,62,12.9788,30
B,122,3997696,mend,Germanic,22,26.9390,30
B,122,3997696,mistake,Germanic,34,13.8965,30
B,122,3997696,more,Germanic,48,9.4583,30
B,122,3997696,multiple,Latinate,47,16.8544,30
B,122,3997696,need,Germanic,3,12.5852,30
B,122,3997696,next,Germanic,53,11.4200,30
B,122,3997696,now,Germanic,66,9.9989,30
B,122,3997696,numerous,Latinate,46,16.6209,30
B,122,3997696,observe,Latinate,26,29.1828,30
B,122,3997696,obtain,Latinate,2,18.8689,30
B,122,3997696,occasionally,Latinate,65,17.8900,30
B,122,3997696,odd,Germanic,55,16.4555,30
B,122,3997696,often,Germanic,63,12.0894,30
