arm,step,tokens_seen,word,klass,pair_id,surprisal_bits,n
A,61,1998848,immense,Latinate,40,16.5693,30
A,61,1998848,infant,Latinate,31,25.6641,30
A,61,1998848,initial,Latinate,52,18.3119,30
A,61,1998848,inquire,Latinate,16,30.7114,30
A,61,1998848,keep,Germanic,28,11.7106,30
A,61,1998848,last,Germanic,59,10.2616,30
A,61,1998848,leave,Germanic,12,11.8144,30
A,61,1998848,let,Germanic,13,11.4826,30
A,61,1998848,lucky,Germanic,54,14.0109,30
A,61,1998848,maintain,Latinate,29,19.2339,30
A,61,1998848,many,Germanic,46,11.0492,30
A,61,1998848,massive,Latinate,41,15.2898,30
A,61,1998848,maybe,Germanic,62,12.9510,30
A,61,1998848,mend,Germanic,22,21.0077,30
A,61,1998848,mistake,Germanic,34,14.7488,30
A,61,1998848,more,Germanic,48,9.8604,30
A,61,1998848,multiple,Latinate,47,16.7261,30
A,61,1998848,need,Germanic,3,11.1637,30
A,61,1998848,next,Germanic,53,11.3956,30
A,61,1998848,now,Germanic,66,9.4360,30
A,61,1998848,numerous,Latinate,46,14.7817,30
A,61,1998848,observe,Latinate,26,32.2416,30
A,61,1998848,obtain,Latinate,2,15.7314,30
A,61,1998848,occasionally,Latinate,65,17.8351,30
A,61,1998848,odd,Germanic,55,16.4789,30
A,61,1998848,often,Germanic,63,12.9909,30
A,61,1998848,old,Germanic,49,10.1121,30
A,61,1998848,peculiar,Latinate,56,16.0050,30
A,61,1998848,perform,Latinate,30,15.3103,30
A,61,1998848,perhaps,Latinate,62,13.0470,30
A,61,1998848,permit,Latinate,13,18.5378,30
A,61,1998848,possess,Latinate,23,15.3096,30
A,61,1998848,previous,Latinate,50,15.0289,30
A,61,1998848,previously,Latinate,64,16.0300,30
A,61,1998848,prior,Latinate,51,17.6535,30
A,61,1998848,provide,Latinate,5,15.3392,30
A,61,1998848,purchase,Latinate,11,18.3907,30
A,61,1998848,rapid,Latinate,42,16.1050,30
A,61,1998848,receive,Latinate,6,15.6549,30
A,61,1998848,remain,Latinate,27,16.1929,30
A,61,1998848,remainder,Latinate,36,32.5943,30
A,61,1998848,repair,Latinate,22,16.6122,30
A,61,1998848,reply,Latinate,17,15.0744,30
A,61,1998848,request,Latinate,15,14.6520,30
A,61,1998848,require,Latinate,3,15.2506,30
A,61,1998848,residence,Latinate,33,18.9081,30
A,61,1998848,respond,Latinate,18,18.5672,30
A,61,1998848,rest,Germanic,36,10.5477,30
A,61,1998848,retain,Latinate,28,18.1064,30
A,61,1998848,safe,Germanic,58,14.8289,30
A,61,1998848,secure,Latinate,58,16.2815,30
A,61,1998848,see,Germanic,26,8.7851,30
A,61,1998848,select,Latinate,21,18.7507,30
A,61,1998848,shall,Latinate,67,11.7526,30
A,61,1998848,show,Germanic,10,11.5685,30
A,61,1998848,sick,Germanic,57,14.0976,30
A,61,1998848,sickness,Germanic,35,19.3760,30
A,61,1998848,so,Germanic,61,8.1924,30
A,61,1998848,sometimes,Germanic,65,13.2151,30
A,61,1998848,start,Germanic,25,13.0024,30
A,61,1998848,stay,Germanic,27,11.8591,30
A,61,1998848,strange,Latinate,55,13.8009,30
A,61,1998848,subsequent,Latinate,53,29.1639,30
A,61,1998848,sufficient,Latinate,44,17.0076,30
A,61,1998848,therefore,Latinate,61,15.0706,30
A,61,1998848,try,Germanic,7,11.9279,30
A,61,1998848,understand,Germanic,0,11.9130,30
A,61,1998848,want,Germanic,4,9.3444,30
A,61,1998848,whole,Germanic,45,10.2675,30
A,61,1998848,will,Germanic,67,9.2449,30
A,92,3014656,acquire,Latinate,1,30.6376,18
A,92,3014656,additional,Latinate,48,17.8540,30
A,92,3014656,allow,Latinate,14,12.5018,30
A,92,3014656,ancient,Latinate,49,14.4241,30
A,92,3014656,answer,Germanic,17,12.9664,30
A,92,3014656,ask,Germanic,15,9.6794,30
A,92,3014656,assist,Latinate,8,15.3818,30
A,92,3014656,assistance,Latinate,37,17.4263,30
A,92,3014656,attempt,Latinate,7,15.5513,30
A,92,3014656,baby,Germanic,31,11.9066,30
A,92,3014656,before,Germanic,64,10.2966,30
A,92,3014656,beverage,Latinate,32,37.5726,11
A,92,3014656,build,Germanic,9,12.2702,30
A,92,3014656,but,Germanic,60,8.4840,30
A,92,3014656,buy,Germanic,11,11.9983,30
A,92,3014656,choose,Germanic,21,13.4193,30
A,92,3014656,commence,Latinate,25,26.9105,14
A,92,3014656,comprehend,Latinate,0,47.6622,19
A,92,3014656,conceal,Latinate,19,26.0959,30
A,92,3014656,conclude,Latinate,24,32.6093,15
A,92,3014656,construct,Latinate,9,30.8788,18
A,92,3014656,currently,Latinate,66,14.3757,30
A,92,3014656,demonstrate,Latinate,10,26.8241,30
A,92,3014656,depart,Latinate,12,17.4829,30
A,92,3014656,desire,Latinate,4,13.6902,30
A,92,3014656,difficult,Latinate,43,13.0523,30
A,92,3014656,discover,Latinate,20,14.3795,30
A,92,3014656,do,Germanic,30,7.3056,30
A,92,3014656,drink,Germanic,32,13.5883,30
A,92,3014656,earlier,Germanic,50,14.8760,30
A,92,3014656,end,Germanic,24,10.5453,30
A,92,3014656,enormous,Latinate,38,16.3552,30
A,92,3014656,enough,Germanic,44,12.0911,30
A,92,3014656,entire,Latinate,45,12.6440,30
A,92,3014656,error,Latinate,34,17.3226,30
A,92,3014656,fast,Germanic,42,13.7870,30
A,92,3014656,final,Latinate,59,12.6313,30
A,92,3014656,find,Germanic,20,9.1154,30
A,92,3014656,first,Germanic,52,10.6274,30
A,92,3014656,fortunate,Latinate,54,16.8895,30
A,92,3014656,frequently,Latinate,63,18.7983,30
A,92,3014656,get,Germanic,1,7.2686,30
A,92,3014656,gigantic,Latinate,39,32.9563,30
A,92,3014656,give,Germanic,5,8.4221,30
A,92,3014656,hard,Germanic,43,12.2644,30
A,92,3014656,have,Germanic,23,5.4716,30
A,92,3014656,help,Germanic,8,10.6167,30
A,92,3014656,hide,Germanic,19,13.1102,30
A,92,3014656,home,Germanic,33,10.9429,30
A,92,3014656,however,Latinate,60,12.7081,30
A,92,3014656,huge,Germanic,38,13.5133,30
A,92,3014656,ill,Latinate,57,13.8431,30
A,92,3014656,illness,Latinate,35,14.8838,30
A,92,3014656,immense,Latinate,40,16.6280,30
A,92,3014656,infant,Latinate,31,22.5200,30
A,92,3014656,initial,Latinate,52,14.9406,30
A,92,3014656,inquire,Latinate,16,27.1485,30
A,92,3014656,keep,Germanic,28,9.2271,30
A,92,3014656,last,Germanic,59,10.7911,30
A,92,3014656,leave,Germanic,12,10.8154,30
A,92,3014656,let,Germanic,13,10.2922,30
A,92,3014656,lucky,Germanic,54,14.9408,30
A,92,3014656,maintain,Latinate,29,17.5915,30
A,92,3014656,many,Germanic,46,10.1973,30
A,92,3014656,massive,Latinate,41,14.7759,30
A,92,3014656,maybe,Germanic,62,12.4799,30
A,92,3014656,mend,Germanic,22,23.3936,30
A,92,3014656,mistake,Germanic,34,13.6034,30
A,92,3014656,more,Germanic,48,10.0924,30
A,92,3014656,multiple,Latinate,47,16.4821,30
A,92,3014656,need,Germanic,3,11.0657,30
A,92,3014656,next,Germanic,53,11.1881,30
A,92,3014656,now,Germanic,66,9.4843,30
A,92,3014656,numerous,Latinate,46,16.7343,30
A,92,3014656,observe,Latinate,26,31.7474,30
A,92,3014656,obtain,Latinate,2,14.5894,30
A,92,3014656,occasionally,Latinate,65,17.7344,30
A,92,3014656,odd,Germanic,55,16.3957,30
A,92,3014656,often,Germanic,63,11.0307,30
A,92,3014656,old,Germanic,49,10.1938,30
A,92,3014656,peculiar,Latinate,56,16.3265,30
A,92,3014656,perform,Latinate,30,13.0779,30
A,92,3014656,perhaps,Latinate,62,11.8770,30
A,92,3014656,permit,Latinate,13,17.1412,30
A,92,3014656,possess,Latinate,23,16.7475,30
A,92,3014656,previous,Latinate,50,14.0505,30
A,92,3014656,previously,Latinate,64,17.7220,30
A,92,3014656,prior,Latinate,51,17.7090,30
A,92,3014656,provide,Latinate,5,12.9259,30
A,92,3014656,purchase,Latinate,11,16.8895,30
A,92,3014656,rapid,Latinate,42,17.0592,30
A,92,3014656,receive,Latinate,6,12.8966,30
A,92,3014656,remain,Latinate,27,15.2100,30
A,92,3014656,remainder,Latinate,36,29.2204,30
A,92,3014656,repair,Latinate,22,15.9437,30
A,92,3014656,reply,Latinate,17,16.3656,30
A,92,3014656,request,Latinate,15,15.8457,30
A,92,3014656,require,Latinate,3,16.1387,30
A,92,3014656,residence,Latinate,33,18.1928,30
A,92,3014656,respond,Latinate,18,15.1480,30
A,92,3014656,rest,Germanic,36,9.8792,30
A,92,3014656,retain,Latinate,28,15.8361,30
A,92,3014656,safe,Germanic,58,13.5644,30
A,92,3014656,secure,Latinate,58,15.3417,30
A,92,3014656,see,Germanic,26,7.3736,30
A,92,3014656,select,Latinate,21,16.6618,30
A,92,3014656,shall,Latinate,67,10.0369,30
A,92,3014656,show,Germanic,10,11.0557,30
A,92,3014656,sick,Germanic,57,13.8399,30
A,92,3014656,sickness,Germanic,35,19.0569,30
A,92,3014656,so,Germanic,61,8.3230,30
A,92,3014656,sometimes,Germanic,65,12.6066,30
A,92,3014656,start,Germanic,25,11.3908,30
A,92,3014656,stay,Germanic,27,9.9679,30
A,92,3014656,strange,Latinate,55,13.9571,30
A,92,3014656,subsequent,Latinate,53,28.9598,30
A,92,3014656,sufficient,Latinate,44,15.9145,30
A,92,3014656,therefore,Latinate,61,13.5158,30
A,92,3014656,try,Germanic,7,10.0070,30
A,92,3014656,understand,Germanic,0,9.5323,30
A,92,3014656,want,Germanic,4,7.4926,30
A,92,3014656,whole,Germanic,45,9.3439,30
A,92,3014656,will,Germanic,67,8.0088,30
A,122,3997696,acquire,Latinate,1,28.0275,18
A,122,3997696,additional,Latinate,48,16.2949,30
A,122,3997696,allow,Latinate,14,12.6936,30
A,122,3997696,ancient,Latinate,49,13.2016,30
A,122,3997696,answer,Germanic,17,13.2756,30
A,122,3997696,ask,Germanic,15,10.1042,30
A,122,3997696,assist,Latinate,8,13.3585,30
A,122,3997696,assistance,Latinate,37,17.4849,30
A,122,3997696,attempt,Latinate,7,14.8963,30
A,122,3997696,baby,Germanic,31,12.1576,30
A,122,3997696,before,Germanic,64,10.9029,30
A,122,3997696,beverage,Latinate,32,41.6475,11
A,122,3997696,build,Germanic,9,11.6658,30
A,122,3997696,but,Germanic,60,6.7618,30
A,122,3997696,buy,Germanic,11,12.1941,30
A,122,3997696,choose,Germanic,21,13.2722,30
A,122,3997696,commence,Latinate,25,23.7261,14
A,122,3997696,comprehend,Latinate,0,44.4201,19
A,122,3997696,conceal,Latinate,19,20.4578,30
A,122,3997696,conclude,Latinate,24,28.6838,15
A,122,3997696,construct,Latinate,9,26.8033,18
A,122,3997696,currently,Latinate,66,13.3757,30
A,122,3997696,demonstrate,Latinate,10,25.0432,30
A,122,3997696,depart,Latinate,12,16.0699,30
A,122,3997696,desire,Latinate,4,13.4764,30
A,122,3997696,difficult,Latinate,43,13.1417,30
A,122,3997696,discover,Latinate,20,13.9902,30
